CUIT: 30-65703377-0 - Fecha de emisión: 27/03/2026
Fecha Operación,Formulario,Version,Impuesto,Periodo,Importe,Observaciones
"=""07/03/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250200""","=""$ 661.562,56""","=""02 - Comprobante general"""
"=""07/03/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250200""","=""$ 578.328,93""","=""02 - Comprobante general"""
"=""19/02/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250200""","=""$ 19.464,25""","=""02 - Comprobante general"""
"=""17/02/2025""","=""800""","=""0""","=""30 - IVA""","=""20241100""","=""$ 14.694.509,70""","=""02 - Comprobante general"""
"=""06/02/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250100""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""06/02/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250100""","=""$ 1.980.903,50""","=""02 - Comprobante general"""
"=""06/02/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250100""","=""$ 559.526,55""","=""02 - Comprobante general"""
"=""06/02/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250100""","=""$ 609.320,00""","=""02 - Comprobante general"""
"=""06/02/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250100""","=""$ 1.004.084,68""","=""02 - Comprobante general"""
"=""06/02/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250100""","=""$ 431.691,13""","=""02 - Comprobante general"""
"=""17/01/2025""","=""800""","=""0""","=""30 - IVA""","=""20241000""","=""$ 7.052.733,15""","=""02 - Comprobante general"""
"=""09/01/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20241200""","=""$ 2.412.283,13""","=""02 - Comprobante general"""
"=""09/01/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20241200""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""09/01/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20241200""","=""$ 721.949,99""","=""02 - Comprobante general"""
"=""09/01/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20241200""","=""$ 745.463,83""","=""02 - Comprobante general"""
"=""09/01/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20241200""","=""$ 2.293.206,28""","=""02 - Comprobante general"""
"=""09/01/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20241200""","=""$ 1.043.703,52""","=""02 - Comprobante general"""
"=""18/12/2024""","=""800""","=""0""","=""30 - IVA""","=""20240900""","=""$ 4.742.766,35""","=""02 - Comprobante general"""
"=""05/12/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20241100""","=""$ 4.221,36""","=""02 - Comprobante general"""
"=""05/12/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20241100""","=""$ 466.141,02""","=""02 - Comprobante general"""
"=""05/12/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20241100""","=""$ 694.761,35""","=""02 - Comprobante general"""
